run_name,method,env,seed,budget,wall_clock_h,wall_clock_min,cpu_h,gpu_h,peak_ram_gb
Ant-v5__prefppo_random__406989952__1753260309,Random,unknown,406989952,,1.129326958153889,67.75961748923334,0.07021724081974191,0.6352913100714027,1.5308914184570312
Ant-v5__prefppo_random__422600776__1753260310,Random,unknown,422600776,,0.591809138651389,35.50854831908334,0.03658543538921811,0.064458061782225,1.5245437622070312
Ant-v5__prefppo_random__109214983__1753260310,Random,unknown,109214983,,0.5835135864938888,35.010815189633334,0.03610709517128995,0.06916647308999718,1.9709854125976562
Ant-v5__prefppo_random__403021432__1753260311,Random,unknown,403021432,,0.5876891889958333,35.26135133975,0.036306304529586615,0.06733300593439163,1.5189552307128906
Ant-v5__prefppo_random__1949773967__1753260311,Random,unknown,1949773967,,0.5876603523772223,35.259621142633335,0.03637177750353937,0.06624968371784723,1.5151596069335938
Ant-v5__prefppo_random__2001339610__1753260311,Random,unknown,2001339610,,0.6293062079230556,37.75837247538333,0.038947295155307,0.09350001162626666,1.5201950073242188
Ant-v5__prefppo_random__1441960350__1753260310,Random,unknown,1441960350,,0.5918229202177777,35.50937521306666,0.0366023501955958,0.06524978328317778,1.5132560729980469
Ant-v5__prefppo_random__27474278__1753260311,Random,unknown,27474278,,0.5793364127180555,34.76018476308333,0.035842700418537696,0.06904111242793887,1.5310897827148438
Ant-v5__prefppo_random__57898117__1753260311,Random,unknown,57898117,,0.5960118821861111,35.760712931166665,0.03690737548189303,0.06458312224628056,1.5121192932128906
Ant-v5__prefppo_random__677630646__1753260312,Random,unknown,677630646,,0.5876628175788889,35.25976905473334,0.03629503095341054,0.06591627925323608,1.9543571472167969
Ant-v5__prefppo_variquery_v10__2001339610__1753512247,VARIQuery,unknown,2001339610,,1.5168352355858332,91.01011413514999,0.09797363109085248,0.5322032876717802,2.277111053466797
Ant-v5__prefppo_variquery_v10__109214983__1753512248,VARIQuery,unknown,109214983,,1.5293326650908332,91.75995990544999,0.09886954142768802,0.5289961943112719,2.305206298828125
Ant-v5__prefppo_variquery_v10__403021432__1753512249,VARIQuery,unknown,403021432,,1.5168151144191666,91.00890686515,0.09787591141302765,0.5452446626191335,1.8988189697265625
Ant-v5__prefppo_variquery_v10__1441960350__1753512250,VARIQuery,unknown,1441960350,,1.5584820783225,93.50892469935,0.10067326318496472,0.5211624094775648,1.9046897888183594
Ant-v5__prefppo_variquery_v10__57898117__1753514044,VARIQuery,unknown,57898117,,1.5460147253041665,92.76088351824998,0.09724069437536331,0.5275773773071332,1.8881378173828125
Ant-v5__prefppo_variquery_v10__406989952__1753514499,VARIQuery,unknown,406989952,,1.5418099048294445,92.50859428976666,0.0996037007521079,0.6143287309519363,2.2823562622070312
Ant-v5__prefppo_variquery_v10__677630646__1753514500,VARIQuery,unknown,677630646,,1.5501431055605557,93.00858633363335,0.10028110748837497,0.60999515000415,1.9041519165039062
Ant-v5__prefppo_variquery_v10__1949773967__1753514500,VARIQuery,unknown,1949773967,,1.5418390774105557,92.51034464463334,0.09982257843363956,0.5380353990136497,1.8948974609375
Ant-v5__prefppo_variquery_v10__422600776__1753514503,VARIQuery,unknown,422600776,,1.287660660186111,77.25963961116665,0.0851438918661472,0.614456007235611,1.8845634460449219
Ant-v5__prefppo_variquery_v10__27474278__1753517744,VARIQuery,unknown,27474278,,1.5334763745930555,92.00858247558332,0.0987174043882604,0.5255378527899167,2.3039627075195312
Ant-v5__prefppo_duo_prio__1949773967__1753697219,DUO,unknown,1949773967,,0.5876686131327777,35.260116787966666,0.036784733789426094,0.06541652918318888,1.5430717468261719
Ant-v5__prefppo_duo_prio__1441960350__1753697219,DUO,unknown,1441960350,,0.5960153224875,35.76091934925,0.037309514703286514,0.06324984706020557,1.9716911315917969
Ant-v5__prefppo_duo_prio__677630646__1753697219,DUO,unknown,677630646,,0.6001508792108334,36.00905275265001,0.03753517959395239,0.06287498182438611,1.9728736877441406
Ant-v5__prefppo_duo_prio__57898117__1753697218,DUO,unknown,57898117,,1.745995938936111,104.75975633616666,0.10907759305343272,1.5184602289624112,1.5418128967285156
Ant-v5__prefppo_duo_prio__2001339610__1753697220,DUO,unknown,2001339610,,0.6084780826977778,36.50868496186667,0.03808192305152821,0.06120827338499167,1.8269386291503906
Ant-v5__prefppo_duo_prio__109214983__1753697219,DUO,unknown,109214983,,0.5876420914366667,35.2585254862,0.036817534157285225,0.06187486758931388,1.9722404479980469
Ant-v5__prefppo_duo_prio__403021432__1753697219,DUO,unknown,403021432,,0.5835143042483334,35.0108582549,0.03650731610793868,0.06162500535518891,1.5434494018554688
Ant-v5__prefppo_duo_prio__406989952__1753697221,DUO,unknown,406989952,,0.5918238809955556,35.50943285973334,0.03678612036994289,0.06162492084365832,1.5427703857421875
Ant-v5__prefppo_duo_prio__422600776__1753697223,DUO,unknown,422600776,,0.5876645827286111,35.25987496371667,0.03644881503075218,0.0618332525472111,1.971893310546875
Ant-v5__prefppo_duo_prio__27474278__1753697224,DUO,unknown,27474278,,0.5834860587038889,35.00916352223334,0.0361197526575026,0.06687495164674723,1.5430564880371094
Ant-v5__prefppo_hybrid_prio__677630646__1753701246,Hybrid,unknown,677630646,,1.5251583851508335,91.50950310905,0.09377538521385721,0.4807470626652139,2.211883544921875
Ant-v5__prefppo_hybrid_prio__406989952__1753701247,Hybrid,unknown,406989952,,1.5126411049738888,90.75846629843333,0.09274518849323646,0.41624675748729184,2.2116622924804688
Ant-v5__prefppo_hybrid_prio__403021432__1753701246,Hybrid,unknown,403021432,,1.554310479273611,93.25862875641667,0.09541249595971857,0.4682885876141502,2.2106094360351562
Ant-v5__prefppo_hybrid_prio__422600776__1753701247,Hybrid,unknown,422600776,,1.5293335039155556,91.76001023493333,0.09389009828441727,0.42491521063088333,1.7816925048828125
