Environment,method,wall_clock_h,gpu_h,cpu_h,peak_ram_gb,wall_clock_min
Walker,DUO,0.5476575976728333,0.0620374679833958,0.0338171053984301,1.544878005981445,32.85945586037
Walker,Hybrid,0.6852499789849444,0.1544190803587458,0.0414751583128518,1.7710254669189454,41.11499873909666
Walker,Random,0.5418344836105555,0.060087454298285,0.0333004462187079,1.515719223022461,32.51006901663333
Walker,VARIQuery,0.7005938429621666,0.1466908699937808,0.0463203339202371,1.9261184692382811,42.03563057773
Halfcheetah,DUO,0.52182249668175,0.0605584220292405,0.0325594498457961,1.5405345916748048,31.309349800904997
Halfcheetah,Hybrid,0.6089129472904722,0.1103995898744647,0.0372019129815974,1.7803340911865235,36.53477683742833
Halfcheetah,Random,0.5168534532203056,0.0600167437658819,0.0314223988191334,1.517068862915039,31.011207193218336
Halfcheetah,VARIQuery,0.58434508624575,0.0790288771386122,0.0387502286801343,1.911417007446289,35.060705174744996
Ant,DUO,0.7072439754578056,0.2085042858397302,0.0441468482515047,1.7429798126220704,42.43463852746834
Ant,Hybrid,1.5276566752198333,0.4463591470377506,0.0936544433551489,1.99289665222168,91.65940051319
Ant,Random,0.6464139465296111,0.1260788843432763,0.040018260561812,1.6091552734375,38.78483679177667
Ant,VARIQuery,1.512240894130222,0.5557537071382147,0.0976201724420426,2.0543895721435548,90.73445364781333
Hopper,DUO,0.5464119459988334,0.0614166478443458,0.0334187085117813,1.5468170166015625,32.78471675993
Hopper,Hybrid,0.67443957893075,0.1244249417290211,0.0402790513066919,1.7876510620117188,40.466374735845
Hopper,Random,0.5464325687736944,0.0607624784212216,0.0325915055016979,1.5319374084472657,32.785954126421665
Hopper,VARIQuery,0.6822442802220555,0.1086121506762255,0.044685710013436,1.9044578552246096,40.93465681332333
