run_name,method,env,seed,budget,wall_clock_h,wall_clock_min,cpu_h,gpu_h,peak_ram_gb
HalfCheetah-v5__prefppo_random__2001339610__1753017972,Random,unknown,2001339610,,0.5168573806213889,31.011442837283333,0.031635126846930456,0.05954173983955001,1.5354652404785156
HalfCheetah-v5__prefppo_random__57898117__1753017971,Random,unknown,57898117,,0.51687210875,31.012326525,0.03168777411029029,0.05870839712586666,1.5046501159667969
HalfCheetah-v5__prefppo_random__1441960350__1753017972,Random,unknown,1441960350,,0.5211001098341667,31.26600659005,0.03189392237247505,0.060541803850400006,1.5350379943847656
HalfCheetah-v5__prefppo_random__403021432__1753017972,Random,unknown,403021432,,0.5168614349997223,31.011686099983336,0.03166201517794568,0.05979180213898611,1.5275154113769531
HalfCheetah-v5__prefppo_random__109214983__1753017979,Random,unknown,109214983,,0.5168474521158334,31.010847126950004,0.0310925092580108,0.05762509976868056,1.53570556640625
HalfCheetah-v5__prefppo_random__1949773967__1753018233,Random,unknown,1949773967,,0.5168485250527778,31.010911503166668,0.030982322012715585,0.06020834989925557,1.5188522338867188
HalfCheetah-v5__prefppo_random__677630646__1753019416,Random,unknown,677630646,,0.5168539359852777,31.011236159116663,0.030470382767649518,0.06041676397553335,1.4845237731933594
HalfCheetah-v5__prefppo_random__422600776__1753019858,Random,unknown,422600776,,0.5168158211558334,31.00894926935,0.03173844075936948,0.06220835995293334,1.5036659240722656
HalfCheetah-v5__prefppo_random__406989952__1753019862,Random,unknown,406989952,,0.5168155960827778,31.00893576496667,0.0316515033617783,0.059041668247177784,1.5041160583496094
HalfCheetah-v5__prefppo_random__27474278__1753019864,Random,unknown,27474278,,0.5126621676052778,30.75973005631667,0.031409991524168894,0.062083452860436115,1.5211563110351562
HalfCheetah-v5__prefppo_variquery__2001339610__1753119442,VARIQuery,unknown,2001339610,,0.5835306654308334,35.011839925850005,0.038736278080321554,0.08158297537989727,1.9067192077636719
HalfCheetah-v5__prefppo_variquery__403021432__1753119442,VARIQuery,unknown,403021432,,0.5793609203263889,34.76165521958333,0.03841306617489997,0.07295787178410279,1.9036903381347656
HalfCheetah-v5__prefppo_variquery__57898117__1753119443,VARIQuery,unknown,57898117,,0.5751584207174999,34.50950524304999,0.038080392605909376,0.0788334751864222,1.9052276611328125
HalfCheetah-v5__prefppo_variquery__109214983__1753119443,VARIQuery,unknown,109214983,,0.5752185410488889,34.513112462933336,0.038055102812328254,0.07887460983626667,1.9057579040527344
HalfCheetah-v5__prefppo_variquery__1441960350__1753119443,VARIQuery,unknown,1441960350,,0.5876761282625,35.260567695750005,0.03897209521138514,0.07516656221706387,1.9650764465332031
HalfCheetah-v5__prefppo_variquery__1949773967__1753121553,VARIQuery,unknown,1949773967,,0.5834944710483333,35.0096682629,0.0385871301149967,0.07637453039015835,1.9049949645996094
HalfCheetah-v5__prefppo_variquery__677630646__1753121555,VARIQuery,unknown,677630646,,0.5751765324841667,34.51059194905,0.038368448244187406,0.07958321276835553,1.9055328369140625
HalfCheetah-v5__prefppo_variquery__422600776__1753121573,VARIQuery,unknown,422600776,,0.5793350797086112,34.76010478251667,0.038494384717164556,0.08233344351979169,1.9076156616210938
HalfCheetah-v5__prefppo_variquery__406989952__1753121582,VARIQuery,unknown,406989952,,0.5876567793483334,35.259406760900006,0.039074824357884105,0.08204115887054446,1.904296875
HalfCheetah-v5__prefppo_variquery__27474278__1753121688,VARIQuery,unknown,27474278,,0.6168433240819445,37.01059944491667,0.040720564482266096,0.08254093143351944,1.9052581787109375
HalfCheetah-v5__prefppo_hybrid_prio_u_v6__1949773967__1753713713,Hybrid,unknown,1949773967,,0.8626544021955556,51.75926413173333,0.053280510523805655,0.4012499960445944,1.7798690795898438
HalfCheetah-v5__prefppo_hybrid_prio_u_v6__2001339610__1753713715,Hybrid,unknown,2001339610,,0.5835224747325001,35.01134848395,0.03559645108249324,0.08254118552321946,1.7786941528320312
HalfCheetah-v5__prefppo_hybrid_prio_u_v6__57898117__1753713716,Hybrid,unknown,57898117,,0.5834857770422222,35.00914662253333,0.03559635813128757,0.0768331300812917,1.7807044982910156
HalfCheetah-v5__prefppo_hybrid_prio_u_v6__422600776__1753713715,Hybrid,unknown,422600776,,0.5751465962827778,34.508795776966664,0.0350617887990461,0.07620807430146671,1.7800865173339844
HalfCheetah-v5__prefppo_hybrid_prio_u_v6__109214983__1753713716,Hybrid,unknown,109214983,,0.5918331892194445,35.50999135316667,0.0361608871580166,0.07812457997250555,1.7807502746582031
HalfCheetah-v5__prefppo_hybrid_prio_u_v6__403021432__1753713716,Hybrid,unknown,403021432,,0.575154798318611,34.509287899116664,0.03506273549057507,0.08008272899494723,1.78033447265625
HalfCheetah-v5__prefppo_hybrid_prio_u_v6__1441960350__1753713716,Hybrid,unknown,1441960350,,0.5793276927372223,34.75966156423334,0.03527033866290382,0.07524969409998612,1.7804374694824219
HalfCheetah-v5__prefppo_hybrid_prio_u_v6__677630646__1753713716,Hybrid,unknown,677630646,,0.5834954560538889,35.00972736323333,0.0356242857514625,0.07645791724782221,1.7804832458496094
HalfCheetah-v5__prefppo_hybrid_prio_u_v6__406989952__1753713717,Hybrid,unknown,406989952,,0.5751897704825,34.51138622895,0.03504747322394353,0.0775406980665972,1.7809333801269531
HalfCheetah-v5__prefppo_hybrid_prio_u_v6__27474278__1753713717,Hybrid,unknown,27474278,,0.5793193158400001,34.75915895040001,0.0353183009924406,0.07970789441221668,1.7810478210449219
HalfCheetah-v5__prefppo_duo_prio_v2__403021432__1753961852,DUO,unknown,403021432,,0.5251660229044445,31.50996137426667,0.03271987634488831,0.061291905538891654,1.5387916564941406
HalfCheetah-v5__prefppo_duo_prio_v2__2001339610__1753962361,DUO,unknown,2001339610,,0.5293242643416667,31.7594558605,0.03299344075878511,0.06087507473058055,1.5398178100585938
HalfCheetah-v5__prefppo_duo_prio_v2__109214983__1753962388,DUO,unknown,109214983,,0.5209892547225,31.25935528335,0.0324487957196212,0.060833595701308335,1.5401763916015625
HalfCheetah-v5__prefppo_duo_prio_v2__1441960350__1753962395,DUO,unknown,1441960350,,0.5210091245088889,31.260547470533336,0.032483599461309916,0.06208332892353611,1.5490188598632812
HalfCheetah-v5__prefppo_duo_prio_v2__57898117__1753963440,DUO,unknown,57898117,,0.5209912322961111,31.259473937766668,0.03250068331266167,0.06233347780432222,1.540069580078125
HalfCheetah-v5__prefppo_duo_prio_v2__1949773967__1753963779,DUO,unknown,1949773967,,0.5209927433122222,31.259564598733334,0.032497878246310154,0.05858344979206112,1.5391883850097656
HalfCheetah-v5__prefppo_duo_prio_v2__677630646__1753964294,DUO,unknown,677630646,,0.5168147493872223,31.008884963233335,0.032338011379981796,0.06012489955217221,1.5400047302246094
HalfCheetah-v5__prefppo_duo_prio_v2__422600776__1753964294,DUO,unknown,422600776,,0.5209713895116667,31.2582833707,0.032528742053825936,0.06100010942248055,1.5388450622558594
HalfCheetah-v5__prefppo_duo_prio_v2__406989952__1753964297,DUO,unknown,406989952,,0.5209786698919444,31.258720193516666,0.03260680597801368,0.05845835082488056,1.5394973754882812
