run_name,method,env,seed,budget,wall_clock_h,wall_clock_min,cpu_h,gpu_h,peak_ram_gb
Hopper-v5__prefppo_random__1949773967__1753605606,Random,unknown,1949773967,,0.5501525142711111,33.009150856266665,0.03305357177355226,0.062458407484261125,1.5716361999511719
Hopper-v5__prefppo_random__109214983__1753605605,Random,unknown,109214983,,0.5460498361516667,32.7629901691,0.032764894007040926,0.05870833932215,1.5317802429199219
Hopper-v5__prefppo_random__2001339610__1753605605,Random,unknown,2001339610,,0.5459765372833334,32.758592237,0.03279952461418017,0.06170834587072224,1.5116348266601562
Hopper-v5__prefppo_random__677630646__1753605605,Random,unknown,677630646,,0.5460459734280556,32.762758405683336,0.03282321281769582,0.062374880798019436,1.5812530517578125
Hopper-v5__prefppo_random__422600776__1753605605,Random,unknown,422600776,,0.5460232284783333,32.7613937087,0.032813665669760045,0.06020834082820001,1.5074348449707031
Hopper-v5__prefppo_random__403021432__1753605606,Random,unknown,403021432,,0.5459952113908333,32.75971268345,0.03278967931819445,0.06108333444996667,1.5078315734863281
Hopper-v5__prefppo_random__1441960350__1753605606,Random,unknown,1441960350,,0.5418434594686111,32.51060756811667,0.032488186173464446,0.05925009347214444,1.5985298156738281
Hopper-v5__prefppo_random__57898117__1753605611,Random,unknown,57898117,,0.5501545898863889,33.00927539318333,0.0326677061770911,0.05874988886160834,1.5140113830566406
Hopper-v5__prefppo_random__406989952__1753605619,Random,unknown,406989952,,0.5460566185555555,32.76339711333333,0.03184453602359959,0.06245825223188335,1.5031318664550781
Hopper-v5__prefppo_random__27474278__1753605619,Random,unknown,27474278,,0.5460277188230556,32.76166312938334,0.03187007844240045,0.060624900893261106,1.4921302795410156
Hopper-v5__prefppo_duo_prio__109214983__1753608326,DUO,unknown,109214983,,0.5501638735977777,33.00983241586666,0.033677126185455875,0.06075026777611111,1.5398635864257812
Hopper-v5__prefppo_duo_prio__57898117__1753608326,DUO,unknown,57898117,,0.5418359264247222,32.51015558548333,0.03317476761036856,0.061083143689630554,1.5395164489746094
Hopper-v5__prefppo_duo_prio__1949773967__1753608326,DUO,unknown,1949773967,,0.5459885692741667,32.75931415645,0.03341084032965573,0.060291807471327764,1.5394668579101562
Hopper-v5__prefppo_duo_prio__1441960350__1753608326,DUO,unknown,1441960350,,0.5501843063383334,33.0110583803,0.03369023469374685,0.058458342747766685,1.5402297973632812
Hopper-v5__prefppo_duo_prio__2001339610__1753608326,DUO,unknown,2001339610,,0.5460004543008333,32.76002725805,0.03341101059632047,0.06079163188201944,1.539703369140625
