exp_name,seed,charts/episodic_return,global_step
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,0.3357738,954
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,-91.31812,1955
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,114.33196,2956
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,-15.212099,3957
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,-231.90312,4958
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,-325.90964,5959
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,-62.13886,6960
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,164.1734,7961
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,212.82019,8962
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,183.49603,9963
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,-136.94447,10964
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,193.13193,11965
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,-161.85345,12966
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,-159.01675,13967
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,118.680504,14968
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,9.561042,15969
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,-469.5249,16970
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,-371.31412,17971
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,300.11215,18972
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,84.28162,19973
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,-307.89883,20974
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,-451.7272,21975
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,97.783966,22976
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,158.733,23977
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,-419.76166,24978
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,-91.5692,25979
Walker2d-v5__prefppo_variquery_v3__422600776__1753541094,422600776,-87.56666,26980
