env,metric_type,metric,prefix_a,prefix_b,n,W_statistic,p_value,p_value_holm,reject_null,delta_mean,delta_median,sd_delta,ci_t_low,ci_t_high,ci_boot_low,ci_boot_high,dz,gz
Ant-v5,auc,charts/episodic_return,Ant-v5__prefppo_duo_prio,Ant-v5__prefppo_variquery_v10,10,10.0,0.083984375,0.50390625,False,101.73986628201392,115.12562684804419,150.11095799563327,8.700130594865172,194.77960196916268,11.724357565923075,187.07916194694326,0.677764419336885,0.6121743142397671
Ant-v5,auc,charts/episodic_return,Ant-v5__prefppo_hybrid_prio,Ant-v5__prefppo_variquery_v10,10,11.0,0.10546875,0.52734375,False,88.75638914988964,122.88659556670012,144.698326159983,-0.9285625688868748,178.44134086866615,4.351687227095264,172.8353935887396,0.6133891904993967,0.5540289462575195
Ant-v5,auc,charts/episodic_return,Ant-v5__prefppo_hybrid_prio,Ant-v5__prefppo_random,10,12.0,0.130859375,0.52734375,False,66.084394740662,64.01139895937808,114.78788805489083,-5.061875373900435,137.23066485522446,1.6300881630035806,137.37290234145183,0.5757087778203644,0.519995025128071
Ant-v5,auc,charts/episodic_return,Ant-v5__prefppo_duo_prio,Ant-v5__prefppo_random,10,15.0,0.232421875,0.697265625,False,79.06787187278628,118.77766055466401,160.8357788641209,-20.619176656940766,178.75492040251333,-22.857632256165594,165.56209661551446,0.49160623607005566,0.444031439031018
Ant-v5,auc,charts/episodic_return,Ant-v5__prefppo_random,Ant-v5__prefppo_variquery_v10,10,22.0,0.625,1.0,False,22.671994409227636,28.401201554664,95.32317189745905,-36.40991964036646,81.75390845882174,-30.89865121048151,79.61441430239462,0.23784347455009505,0.21482636410976327
Ant-v5,auc,charts/episodic_return,Ant-v5__prefppo_duo_prio,Ant-v5__prefppo_hybrid_prio,10,26.0,0.921875,1.0,False,12.983477132124278,93.17765030675974,223.80190707644266,-125.7303819938549,151.69733625810346,-121.65600688997819,139.90634777357513,0.05801325512248468,0.05239906914288939
Ant-v5,endpoint,charts/episodic_return,Ant-v5__prefppo_duo_prio,Ant-v5__prefppo_random,10,2.0,0.005859375,0.03515625,True,288.49573699999996,365.389805,201.29411799920163,163.73235007545406,413.25912392454586,163.86246058749998,402.059565295,1.4332050030450676,1.2945077446858675
Ant-v5,endpoint,charts/episodic_return,Ant-v5__prefppo_duo_prio,Ant-v5__prefppo_variquery_v10,10,3.0,0.009765625,0.048828125,True,251.87412060000003,267.8958335000001,205.99670930139766,124.19603738916615,379.55220381083393,126.94957451999996,369.89150787500006,1.2227094377098922,1.1043827179315155
Ant-v5,endpoint,charts/episodic_return,Ant-v5__prefppo_hybrid_prio,Ant-v5__prefppo_random,10,4.0,0.013671875,0.0546875,False,260.67569923,312.056428,234.07206971334435,115.5963273529187,405.75507110708133,126.25396011324996,397.0590801757499,1.1136557195791694,1.0058825854263465
Ant-v5,endpoint,charts/episodic_return,Ant-v5__prefppo_hybrid_prio,Ant-v5__prefppo_variquery_v10,10,6.0,0.02734375,0.08203125,False,224.05408283000006,209.37523300000004,268.0146107344553,57.93690606963881,390.1712595903613,72.34078524500006,385.5820962132499,0.8359771216054686,0.7550761098371974
Ant-v5,endpoint,charts/episodic_return,Ant-v5__prefppo_random,Ant-v5__prefppo_variquery_v10,10,16.0,0.275390625,0.55078125,False,-36.62161639999999,-32.894553499999915,105.09573838207247,-101.76062991024753,28.517397110247543,-96.91724932749996,26.233867135000008,-0.34845957565722774,-0.3147376812387863
Ant-v5,endpoint,charts/episodic_return,Ant-v5__prefppo_duo_prio,Ant-v5__prefppo_hybrid_prio,10,24.0,0.76953125,0.76953125,False,27.82003777,85.99487700000003,343.5122439365186,-185.09105684897364,240.73113238897363,-179.45058693825,221.46423110499995,0.08098703397349985,0.07314957907283857
