env,metric_type,metric,prefix_a,prefix_b,n,W_statistic,p_value,p_value_holm,reject_null,delta_mean,delta_median,sd_delta,ci_t_low,ci_t_high,ci_boot_low,ci_boot_high,dz,gz
HalfCheetah-v5,auc,charts/episodic_return,HalfCheetah-v5__prefppo_hybrid_prio_u_v6,HalfCheetah-v5__prefppo_random,10,7.0,0.037109375,0.22265625,False,525.1311655332399,627.2094505011185,619.9735011951365,140.86760839899216,909.3947226674877,155.1607573923206,887.4864047286982,0.8470219525849623,0.7650520862057724
HalfCheetah-v5,auc,charts/episodic_return,HalfCheetah-v5__prefppo_hybrid_prio_u_v6,HalfCheetah-v5__prefppo_variquery,10,15.0,0.232421875,1.0,False,254.7012692096459,262.311761325376,631.9145810113788,-136.96344587307522,646.365984292367,-112.86046425291391,626.9055520290559,0.4030628139676674,0.3640567351966028
HalfCheetah-v5,auc,charts/episodic_return,HalfCheetah-v5__prefppo_random,HalfCheetah-v5__prefppo_variquery,10,15.0,0.232421875,1.0,False,-270.4298963235941,-168.3009922201258,560.2935586816525,-617.7034418596193,76.84364921243105,-600.6131327471753,50.7758230773434,-0.482657514321429,-0.4359487226129036
HalfCheetah-v5,auc,charts/episodic_return,HalfCheetah-v5__prefppo_duo_prio,HalfCheetah-v5__prefppo_random,10,19.0,0.431640625,1.0,False,307.8778820303931,132.6030295360082,771.6846354582957,-170.4172103169767,786.1729743777629,-128.63948611588722,784.6764646997284,0.3989685266281705,0.3603586692125411
HalfCheetah-v5,auc,charts/episodic_return,HalfCheetah-v5__prefppo_duo_prio,HalfCheetah-v5__prefppo_hybrid_prio_u_v6,10,20.0,0.4921875,1.0,False,-217.2532835028468,-21.117556456625266,543.9788686512469,-554.4148793949902,119.90831238929658,-555.6978660000487,80.97800271739824,-0.3993781670995959,-0.3607286670576995
HalfCheetah-v5,auc,charts/episodic_return,HalfCheetah-v5__prefppo_duo_prio,HalfCheetah-v5__prefppo_variquery,10,24.0,0.76953125,1.0,False,37.44798570679908,7.617087573620097,659.5406952261525,-371.3395723643752,446.2355437779734,-373.9598515013611,402.5404129684413,0.05677888563640246,0.05128415476836351
HalfCheetah-v5,endpoint,charts/episodic_return,HalfCheetah-v5__prefppo_hybrid_prio_u_v6,HalfCheetah-v5__prefppo_random,10,7.0,0.037109375,0.22265625,False,661.0100364699997,502.6665429999998,830.2639529185332,146.40710699995554,1175.612965940044,170.3857887799998,1149.3313074749994,0.7961444479751598,0.7190982110743379
HalfCheetah-v5,endpoint,charts/episodic_return,HalfCheetah-v5__prefppo_random,HalfCheetah-v5__prefppo_variquery,10,10.0,0.083984375,0.419921875,False,-593.2011604300001,-573.9594271499998,944.3584922174753,-1178.5206180034047,-7.881702856595325,-1157.2118408325,-47.17907792750006,-0.6281525133925437,-0.5673635604835879
HalfCheetah-v5,endpoint,charts/episodic_return,HalfCheetah-v5__prefppo_duo_prio,HalfCheetah-v5__prefppo_random,10,20.0,0.4921875,1.0,False,490.79599185999996,130.6522215,1301.0852269761365,-315.6249865993814,1297.2169703193813,-242.54004228100007,1293.2725872054998,0.3772204784775423,0.34071527088294146
HalfCheetah-v5,endpoint,charts/episodic_return,HalfCheetah-v5__prefppo_duo_prio,HalfCheetah-v5__prefppo_variquery,10,23.0,0.6953125,1.0,False,-102.40516857000007,-106.86607999999978,1108.135465604583,-789.2346459250451,584.4243087850449,-775.85734865175,539.4876227339998,-0.09241213890228597,-0.08346902868593571
HalfCheetah-v5,endpoint,charts/episodic_return,HalfCheetah-v5__prefppo_duo_prio,HalfCheetah-v5__prefppo_hybrid_prio_u_v6,10,27.0,1.0,1.0,False,-170.21404460999975,26.548105000000533,1223.669983018613,-928.6525577508022,588.2244685308027,-950.0977399049996,491.4164855932501,-0.13910126665860256,-0.12563985375615716
HalfCheetah-v5,endpoint,charts/episodic_return,HalfCheetah-v5__prefppo_hybrid_prio_u_v6,HalfCheetah-v5__prefppo_variquery,10,27.0,1.0,1.0,False,67.8088760399997,238.61567000000002,1072.7377522087068,-597.0808712496521,732.6986233296516,-539.1619199705003,712.2287189514993,0.06321104659585722,0.05709384853819362
