env,metric_type,metric,prefix_a,prefix_b,n,W_statistic,p_value,p_value_holm,reject_null,delta_mean,delta_median,sd_delta,ci_t_low,ci_t_high,ci_boot_low,ci_boot_high,dz,gz
Hopper-v5,auc,charts/episodic_return,Hopper-v5__prefppo_duo_prio,Hopper-v5__prefppo_random,10,19.0,0.431640625,1.0,False,136.78402485360493,159.48515557833997,411.86388656443086,-118.49185677890841,392.0599064861183,-117.00305853883326,361.69241801609644,0.33210978023490006,0.29997012408313556
Hopper-v5,auc,charts/episodic_return,Hopper-v5__prefppo_hybrid_v3,Hopper-v5__prefppo_random,10,21.0,0.556640625,1.0,False,118.94245335917738,26.80529906536117,503.90133112156093,-193.3788274184476,431.2637341368023,-156.30394292206435,430.6662488363572,0.23604314180802144,0.2132002571169226
Hopper-v5,auc,charts/episodic_return,Hopper-v5__prefppo_random,Hopper-v5__prefppo_variquery_v3,10,22.0,0.625,1.0,False,-153.49271654714454,-5.0032297632898945,535.152519393365,-485.18368449179536,178.19825139750628,-490.11419779961363,139.31164826589307,-0.2868205062757434,-0.2590636830877682
Hopper-v5,auc,charts/episodic_return,Hopper-v5__prefppo_hybrid_v3,Hopper-v5__prefppo_variquery_v3,10,23.0,0.6953125,1.0,False,-34.55026318796712,-6.730167894167579,291.02257101610985,-214.92792147405302,145.82739509811879,-203.17016493840984,133.79722100589498,-0.11872021839177056,-0.10723116499901857
Hopper-v5,auc,charts/episodic_return,Hopper-v5__prefppo_duo_prio,Hopper-v5__prefppo_variquery_v3,10,25.0,0.845703125,1.0,False,-16.70869169353956,-34.210456219398154,637.9626894436293,-412.1220632198507,378.7046798327716,-385.95020429802884,354.6631442970598,-0.02619070357878029,-0.02365611936147897
Hopper-v5,auc,charts/episodic_return,Hopper-v5__prefppo_duo_prio,Hopper-v5__prefppo_hybrid_v3,10,27.0,1.0,1.0,False,17.84157149442756,-77.07447100210635,568.4868046860752,-334.51020052719133,370.19334351604647,-307.5315898965121,364.3775590184005,0.03138431947295571,0.02834712726589548
Hopper-v5,endpoint,charts/episodic_return,Hopper-v5__prefppo_duo_prio,Hopper-v5__prefppo_random,10,13.0,0.16015625,0.9609375,False,330.26153972620006,598.2406771310002,796.5464346657812,-163.44305541735275,823.9661348697529,-165.910211669345,751.5558169488098,0.414616807449239,0.374492600276732
Hopper-v5,endpoint,charts/episodic_return,Hopper-v5__prefppo_hybrid_v3,Hopper-v5__prefppo_random,10,14.0,0.193359375,0.966796875,False,327.0253002662001,325.597123,733.3276676018312,-127.49589709856804,781.5464976309681,-85.90185919849996,760.776207188605,0.4459470366577827,0.4027908718199327
Hopper-v5,endpoint,charts/episodic_return,Hopper-v5__prefppo_random,Hopper-v5__prefppo_variquery_v3,10,20.0,0.4921875,1.0,False,-320.98185327619996,-22.71350720000001,880.5770698966396,-866.7691757295718,224.80546917717191,-867.9272764209,154.0328645102499,-0.3645130724490432,-0.3292376138249422
Hopper-v5,endpoint,charts/episodic_return,Hopper-v5__prefppo_duo_prio,Hopper-v5__prefppo_hybrid_v3,10,26.0,0.921875,1.0,False,3.2362394600000015,-143.59301135000004,835.5894321760252,-514.667456250833,521.1399351708329,-451.8409439664999,524.46262410325,0.00387300190186974,0.003498195266204926
Hopper-v5,endpoint,charts/episodic_return,Hopper-v5__prefppo_hybrid_v3,Hopper-v5__prefppo_variquery_v3,10,26.0,0.921875,1.0,False,6.043446990000052,-54.51567105000001,659.0454834902386,-402.43717566730567,414.5240696473058,-393.05160731924985,374.947659134,0.00916999985796817,0.008282580516874477
Hopper-v5,endpoint,charts/episodic_return,Hopper-v5__prefppo_duo_prio,Hopper-v5__prefppo_variquery_v3,10,27.0,1.0,1.0,False,9.279686450000053,-8.344712200000004,1051.4235833520286,-642.3994021156278,660.958775015628,-596.1725641439999,622.9112215934997,0.008825830613781381,0.007971717973738022
