env,metric_type,metric,prefix_a,prefix_b,n,W_statistic,p_value,p_value_holm,reject_null,delta_mean,delta_median,sd_delta,ci_t_low,ci_t_high,ci_boot_low,ci_boot_high,dz,gz
Walker2d-v5,auc,charts/episodic_return,Walker2d-v5__prefppo_duo_prio,Walker2d-v5__prefppo_random_v2,10,13.0,0.16015625,0.9609375,False,-124.1464661840882,-201.0325038139569,271.10329340798546,-292.17802829914876,43.88509593097238,-287.42507394854056,31.32525959713803,-0.4579304980897418,-0.4136146434358958
Walker2d-v5,auc,charts/episodic_return,Walker2d-v5__prefppo_hybrid_prio,Walker2d-v5__prefppo_random_v2,10,13.0,0.16015625,0.9609375,False,-218.6518452550461,-137.55536347385618,367.9327606634938,-446.69893295513424,9.395242445042015,-445.0445083036057,-8.261110765054013,-0.5942712055886267,-0.5367610889187595
Walker2d-v5,auc,charts/episodic_return,Walker2d-v5__prefppo_duo_prio,Walker2d-v5__prefppo_hybrid_prio,10,18.0,0.375,1.0,False,94.50537907095789,135.72923314083783,291.9288579032342,-86.43400164739195,275.44475978930774,-85.09622441689629,257.40480175061094,0.32372743054502556,0.2923989695245392
Walker2d-v5,auc,charts/episodic_return,Walker2d-v5__prefppo_random_v2,Walker2d-v5__prefppo_variquery_v3,10,18.0,0.375,1.0,False,155.92266473673254,42.51241795290872,406.31065627364313,-95.91128910207644,407.75661857554155,-53.99422464355459,423.18371888515856,0.38375233907653494,0.3466150159400961
Walker2d-v5,auc,charts/episodic_return,Walker2d-v5__prefppo_hybrid_prio,Walker2d-v5__prefppo_variquery_v3,10,23.0,0.6953125,1.0,False,-62.72918051831351,-93.08047177476396,394.2860563606546,-307.11021011637047,181.6518490797434,-289.5287876781393,166.44471777432526,-0.1590956096629878,-0.14369926034076316
Walker2d-v5,auc,charts/episodic_return,Walker2d-v5__prefppo_duo_prio,Walker2d-v5__prefppo_variquery_v3,10,26.0,0.921875,1.0,False,31.77619855264438,-104.7807228469992,363.8669729778198,-193.75088783184236,257.30328493713114,-168.58842278416216,253.8769562991954,0.08732916398703039,0.07887795456893067
Walker2d-v5,endpoint,charts/episodic_return,Walker2d-v5__prefppo_duo_prio,Walker2d-v5__prefppo_hybrid_prio,10,13.0,0.16015625,0.9609375,False,343.0867303,608.0417514999999,670.085116746279,-72.23632793922332,758.4097885392233,-85.32283879749997,696.9365804400002,0.5120047016801693,0.4624558595820884
Walker2d-v5,endpoint,charts/episodic_return,Walker2d-v5__prefppo_hybrid_prio,Walker2d-v5__prefppo_variquery_v3,10,18.0,0.375,1.0,False,-236.75847925,-310.57769300000007,657.157996368405,-644.0692252688966,170.5522667688967,-609.3187590974999,145.06022897124996,-0.3602763423079043,-0.3254108898264942
Walker2d-v5,endpoint,charts/episodic_return,Walker2d-v5__prefppo_hybrid_prio,Walker2d-v5__prefppo_random_v2,10,20.0,0.4921875,1.0,False,-213.49504660000008,-59.99226150000027,827.2413714343211,-726.2245606569461,299.2344674569459,-721.9417600765001,257.37310768749995,-0.25808071739670063,-0.23310516410024573
Walker2d-v5,endpoint,charts/episodic_return,Walker2d-v5__prefppo_random_v2,Walker2d-v5__prefppo_variquery_v3,10,23.0,0.6953125,1.0,False,-23.263432649999913,-183.24929130000015,916.6074110560681,-591.3825919189661,544.8557266189663,-519.05532418,556.8053161400001,-0.02537993078541333,-0.022923808451341073
Walker2d-v5,endpoint,charts/episodic_return,Walker2d-v5__prefppo_duo_prio,Walker2d-v5__prefppo_variquery_v3,10,25.0,0.845703125,1.0,False,106.32825105000003,-44.79777499999966,901.3059960805513,-452.3069929607417,664.9634950607418,-400.42122449499993,653.16816696375,0.11797131219850145,0.10655473359864646
Walker2d-v5,endpoint,charts/episodic_return,Walker2d-v5__prefppo_duo_prio,Walker2d-v5__prefppo_random_v2,10,26.0,0.921875,1.0,False,129.59168369999992,-171.78604200000007,798.1040754175469,-365.07834718372067,624.2617145837205,-308.37977378400007,622.0148291424998,0.16237441668519356,0.14666076345759418
